Subtopic,QuestionNumber,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty
Basic Geometric Concepts,58,ইউক্লিডের কোন অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,C,ইউক্লিডের তৃতীয় অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়।,2
Triangle,59,"একটি ত্রিভুজের দুটি কোণ যদি 40° এবং 70° হয়, তবে তৃতীয় কোণ কত?",70°,80°,90°,100°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (40° + 70°) = 70°।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",60,দুটি সরলরেখা ছেদ করলে তৈরি সংনিকট কোণগুলোর সমষ্টি কত?,1 সমকোণ,2 সমকোণ,3 সমকোণ,4 সমকোণ,B,"দুটি সরলরেখা ছেদ করলে তৈরি সংনিকট কোণগুলোর সমষ্টি 2 সমকোণ বা 180°, যা থিওরেম 1 দ্বারা প্রমাণিত।",3
Basic Geometric Concepts,61,ইউক্লিডের কোন পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,C,ইউক্লিডের তৃতীয় পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়।,1
Triangle,62,"একটি ত্রিভুজের একটি কোণ 90° এবং অন্য দুটি কোণ 45° হলে, ত্রিভুজটি কী ধরনের?",সমবাহু,সমদ্বিবাহু,অসমবাহু,সমকোণী,D,"একটি ত্রিভুজের একটি কোণ 90° হলে ত্রিভুজটি সমকোণী হয়, এবং এখানে অন্য দুটি কোণ সমান হওয়ায় এটি সমদ্বিবাহুও।",2
"Line, Ray, Line Segment, Angle, and Parallel Lines",63,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি অনুরূপ কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি অনুরূপ কোণগুলো সমান হয়, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",4
Basic Geometric Concepts,64,ইউক্লিডের কোন অ্যাক্সিওম বলে যে একই জিনিসের সমান জিনিসগুলো নিজেদের মধ্যে সমান?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,A,ইউক্লিডের প্রথম অ্যাক্সিওম বলে যে একই জিনিসের সমান জিনিসগুলো নিজেদের মধ্যে সমান।,1
Triangle,65,"একটি ত্রিভুজের দুটি কোণ যদি 60° এবং 70° হয়, তবে তৃতীয় কোণ কত?",50°,60°,70°,80°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (60° + 70°) = 50°।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",66,দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো সমান হয়, যা থিওরেম 2 দ্বারা প্রমাণিত।",2
Basic Geometric Concepts,67,ইউক্লিডের কোন পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,D,ইউক্লিডের চতুর্থ পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়।,1
Triangle,68,"একটি ত্রিভুজের দুটি কোণ যদি 30° এবং 60° হয়, তবে তৃতীয় কোণ কত?",90°,100°,110°,120°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (30° + 60°) = 90°।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",69,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলোর সমষ্টি কত?,90°,180°,270°,360°,B,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলোর সমষ্টি 180°, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",5
Triangle,70,"একটি ত্রিভুজের দুটি কোণ যদি 50° এবং 70° হয়, তৃতীয় কোণ কত?",60°,70°,80°,90°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (50° + 70°) = 60°।",1
Basic Geometric Concepts,71,ইউক্লিডের কোন অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,পঞ্চম অ্যাক্সিওম,D,ইউক্লিডের পঞ্চম অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়।,3
"Line, Ray, Line Segment, Angle, and Parallel Lines",72,দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো সমান হয়, যা থিওরেম 2 দ্বারা প্রমাণিত।",2
Triangle,73,"একটি ত্রিভুজের একটি কোণ 90° এবং অন্য দুটি কোণ 45° হলে, ত্রিভুজটি কী ধরনের?",সমবাহু,সমদ্বিবাহু,অসমবাহু,সমকোণী,D,"একটি ত্রিভুজের একটি কোণ 90° হলে ত্রিভুজটি সমকোণী হয়, এবং এখানে অন্য দুটি কোণ সমান হওয়ায় এটি সমদ্বিবাহুও।",4
Basic Geometric Concepts,74,ইউক্লিডের কোন পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,C,ইউক্লিডের তৃতীয় পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়।,1
"Line, Ray, Line Segment, Angle, and Parallel Lines",75,একটি রশ্মির কতটি প্রান্তবিন্দু থাকে?,শূন্য,একটি,দুটি,অসীম,B,"একটি রশ্মির একটি প্রান্তবিন্দু থাকে, যেখান থেকে এটি শুরু হয় এবং অন্য দিকে অসীম পর্যন্ত বিস্তৃত হয়।",3
